no,tape_code,product_code,product_name,broadcast_start,broadcast_end,predicted_sales,status
1,0000015603,21033338,투라 속눈썹 10박스(프리티 8쌍+섹시 2쌍),2026-02-25 00:52:31,2026-02-25 01:52:01,6110806.97323492,success
2,0000015470,19959941,1등염색제 모나리스타 컬러크림  핑거볼륨,2026-02-25 01:52:01,2026-02-25 02:51:31,2858921.185440637,success
3,0000016333,27579746,지니라이프 듀얼 맥스 콘드로이친 12박스,2026-02-25 02:51:31,2026-02-25 03:51:01,3124706.551778053,success
4,0000015454,15750776,안국약품 토비콤 루테인 지아잔틴 12박스,2026-02-25 03:57:02,2026-02-25 04:16:52,182812.6530260923,success
5,0000015615,20454886,뉴트리원 카무트효소 골드 12박스,2026-02-25 04:16:52,2026-02-25 04:36:42,7087.168857033289,success
6,0000016272,27506702,NEW)욕실의여왕 고체형 실내탈취제 더블세트,2026-02-25 04:36:42,2026-02-25 05:36:37,5465862.658127736,success
7,0000016218,18122950,ELLE SPORT 여성 반터틀넥 니트3종,2026-02-25 05:36:37,2026-02-25 06:36:07,9066346.510452973,success
8,0000016377,27777896,슈리오 소가죽 밸런스 키높이 스니커즈,2026-02-25 06:36:32,2026-02-25 07:36:02,12162558.823752612,success
9,0000016102,26108589,리비에라앤바 메디포트 달임마스터,2026-02-25 07:36:12,2026-02-25 08:35:32,14336270.615320398,success
10,0000016138,26570242,배한호 알부민 3+3박스(180병),2026-02-25 08:35:57,2026-02-25 09:35:27,16172773.561332894,success
11,0000016364,27773985,세일 골드카무트효소 12박스파로5봉+저당씬칩,2026-02-25 09:35:27,2026-02-25 10:34:57,16626786.526684064,success
12,0000016222,26570902,세일_대원제약 대원헬스 아스타루지 10개월분,2026-02-25 10:35:22,2026-02-25 11:34:52,15215909.392083343,success
13,0000015603,21033338,투라 속눈썹 10박스(프리티 8쌍+섹시 2쌍),2026-02-25 11:34:52,2026-02-25 12:34:22,11173182.194163565,success
14,0000015775,24704732,25FW 에꼴드파리 다이아몬드퀼팅 자켓 스카프,2026-02-25 12:34:47,2026-02-25 13:34:17,12530749.14067338,success
15,0000015629,24233712,[전고객 무선 고데기]보스티나 염색제 세트,2026-02-25 13:34:17,2026-02-25 14:33:47,12973919.990301887,success
16,0000016057,26135530,제시카 헤어큐 인모 가발 단백질 크림,2026-02-25 14:34:12,2026-02-25 15:33:42,12776074.2228407,success
17,0000015727,24680045,레드캠프 남성 플리스 자켓 2종,2026-02-25 15:33:42,2026-02-25 16:33:12,13875489.428557336,success
18,0000016039,24992743,노팅힐 올인원 에센스,2026-02-25 16:33:37,2026-02-25 17:33:07,13786571.432431336,success
19,0000016275,27774733,★만블링 한우 1++ 구이 세트,2026-02-25 17:33:07,2026-02-25 18:32:37,20002619.012377977,success
20,0000016242,26868841,[방송에서만]라쉬반 컴포트 드로즈 6+3종,2026-02-25 18:33:02,2026-02-25 19:32:32,14103856.797130385,success
21,0000016152,23331640,라이나생명 (무)새로담는간편건강보험(M),2026-02-25 19:33:27,2026-02-25 20:32:57,16074254.921469042,success
22,0000016364,27773985,세일 골드카무트효소 12박스파로5봉+저당씬칩,2026-02-25 20:33:52,2026-02-25 21:33:22,19984287.95833504,success
23,0000016376,27602727,[하나투어] 다낭 호이안,2026-02-25 21:34:17,2026-02-25 22:33:47,15881461.859412482,success
24,0000016304,27776104,(M)상담예약바디프랜드팔콘2026_2602,2026-02-25 22:33:47,2026-02-25 23:33:17,15228652.781063283,success
25,0000016340,25462200,흥국생명 다재다능1540_A_밀폐용기20종,2026-02-25 23:33:17,2026-02-26 00:32:47,14397909.997412488,success
